pick_date,trip_count,passenger_count,fare_amount,tip_amount,total_amount,avg_duration
2020-06-20,1801,1512,36990.49000000001,2767.2599999999998,42641.56,1193.6128045830374
2020-06-21,1392,1284,27842.030000000002,2030.9799999999998,32264.409999999996,1110.5931170112015
2020-06-22,2362,1807,49389.46,3857.8500000000004,57797.17999999996,1117.7197913630655
2020-06-23,2423,1889,53544.609999999986,3977.8099999999995,62077.299999999974,1330.7468796007827
2020-06-24,2411,1795,52860.62999999999,4041.050000000001,61441.14999999999,1247.0485425739428
2020-06-25,2475,1745,53520.69999999999,4162.449999999999,62192.50999999999,1218.9421561562247
2020-06-26,2650,2039,55437.88,4257.869999999999,64515.00999999997,1364.913713127286
2020-06-27,1803,1513,34024.39,2619.65,39383.249999999985,990.2219310632313
2020-06-28,1431,1269,28130.429999999997,2241.9700000000003,32879.08999999999,1131.9855419859703
2020-06-29,2369,1637,50899.74,3930.43,59007.489999999976,1161.9259406376857
2020-06-30,2412,1680,52235.04999999998,4168.09,60422.65999999998,1313.9145878227096
2020-07-14,1,1,14.5,0.0,15.3,1038.0
